escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora
p20_m5_tardia,ponderado,clasico,400,-998270.11782694,362422.4653470044,-1708618.1499070688,-287922.08574681135,True,False,-230.59889108833974,26.521134014618042,-282.58031375699113,-178.61746841968838,True,False,-0.14375081265953488,0.01609509223390266,-0.17529719343798408,-0.11220443188108567,True,False
p20_m5_tardia,truncada,clasico,400,4635754.462064697,1191126.677756349,2301146.173662253,6970362.750467142,False,True,480.79375131780137,40.3294092203267,401.748109245961,559.8393933896417,False,True,0.295547743433163,0.024579293833370812,0.24737232751975619,0.3437231593465698,False,True
p20_m5_temprana,mediana,clasico,400,-224345.4468953794,187083.15989785004,-591028.4402951654,142337.54650440667,False,False,-23.997469727131925,27.80053304026517,-78.48651448605166,30.491575031787807,False,False,-0.013111956291313938,0.016607200788709232,-0.04566206983718404,0.01943815725455616,False,False
p20_m5_temprana,ponderado,clasico,400,511539.0201753515,187137.06108534278,144750.38044807967,878327.6599026234,False,True,84.34745366905732,28.683597620186482,28.127602333491815,140.56730500462282,False,True,0.06115487813793713,0.017413656141331994,0.027024112100926423,0.09528564417494784,False,True
p20_m5_temprana,truncada,clasico,400,5566602.310257549,1302638.305192621,3013431.2320800126,8119773.388435086,False,True,707.7811073769388,67.61207413434185,575.2614420736288,840.3007726802489,False,True,0.44797209964115003,0.03983348813187614,0.3698984629026728,0.5260457363796273,False,True
p5_m10_aleatoria,mediana,clasico,400,-2828344.7061321246,863529.0834820184,-4520861.709756881,-1135827.7025073685,True,False,-425.9999587941569,55.777585313420936,-535.3240260084619,-316.67589157985185,True,False,-0.27659993039405106,0.036348964483395085,-0.3478439007815054,-0.2053559600065967,True,False
p5_m10_aleatoria,ponderado,clasico,400,-1919105.1216805778,762299.0965272317,-3413211.350873952,-424998.89248720347,True,False,-293.2083015918998,49.791434007835676,-390.7995122472577,-195.61709093654184,True,False,-0.19161118178404518,0.03189865462061865,-0.2541325448404577,-0.12908981872763264,True,False
p5_m10_aleatoria,truncada,clasico,400,8034200.277869263,1771982.6818860911,4561114.221372524,11507286.334366001,False,True,936.0659563199204,67.07984686042242,804.5894564734924,1067.5424561663483,False,True,0.5821250080438676,0.042362694067079584,0.4990941276723916,0.6651558884153436,False,True
p5_m10_tardia,mediana,clasico,400,155647.91025238662,714438.2147188683,-1244650.990596595,1555946.8111013684,False,False,-134.88256089227767,27.775349981319557,-189.322246855664,-80.44287492889134,True,False,-0.08970325646239044,0.017413222356815267,-0.12383317228174837,-0.055573340643032515,True,False
p5_m10_tardia,ponderado,clasico,400,738114.4754185016,664125.7718669042,-563572.0374406305,2039800.9882776337,False,False,-66.1247354541786,25.29589011560893,-115.7046800807721,-16.544790827585103,True,False,-0.04356242148855832,0.016071318497546876,-0.0750622057437502,-0.012062637233366445,True,False
