metodo_robusto,escenarios_con_menor_sd_que_clasico,total_escenarios_contaminados,proporcion_favorable,etiqueta_metodo_robusto
mediana,15,27,0.5555555555555556,Mediana
truncada,0,27,0.0,Media truncada
ponderado,7,27,0.25925925925925924,Ponderado robusto
