method,mean_rmse,mean_mape,mean_abs_bias,mean_sd
median,1528.2190271816232,0.5590565785732345,538.4009541419812,1372.4043658574005
weighted,1819.689017760694,0.6684596143185875,806.6074524598023,1583.4908713168745
classical,1903.2642355638616,0.6875003827126351,802.5440807439618,1671.1800045133352
trimmed,3766.057662333014,1.3896545970835297,2114.04243849155,3082.499912405045
